fp_a_1_mu,fp_a_1_sigma,bp_a_1_mu,bp_a_1_sigma,lh_a_1_mu,lh_a_1_sigma,wp_a_1_mu,wp_a_1_sigma,p_a_1_mu,p_a_1_sigma,p_a_2_mu,p_a_2_sigma,p_b_1_mu,p_b_1_sigma,p_b_2_mu,p_b_2_sigma,wp_b_1_mu,wp_b_1_sigma,fp_a_2_mu,fp_a_2_sigma,bp_a_2_mu,bp_a_2_sigma,lh_a_2_mu,lh_a_2_sigma,wp_a_2_mu,wp_a_2_sigma,wp_b_2_mu,wp_b_2_sigma,lh_b_1_mu,lh_b_2_mu,lh_b_1_sigma,lh_b_2_sigma,e_1,e_2,d_div_1_mu,d_div_1_sigma,d_div_2_mu,d_div_2_sigma
0.0,3.0,0.0,Inf,5.390708097206672,4.478809416495589,0.0,3.0,1.6695394812164988,2.492516383227871,-0.8679040376008635,1.9612499743438438,-1.6695394812164988,2.492516383227871,0.8679040376008635,1.9612499743438438,0.0,3.0,1.6695394812164988,2.492516383227871,0.0,Inf,-4.992890222673083,3.1779794076395698,1.6695394812164988,2.492516383227871,-1.6695394812164988,2.492516383227871,-5.390708097206672,4.992890222673083,4.478809416495589,3.1779794076395698,0.49999998499999976,0.17650492764109305,5.390708097206672,3.2495744012546575,5.390708097206672,3.2495744012546575
0.0,3.0,-4.992890222673083,3.1779794076395698,4.82965723703828,2.6525749763415023,-2.3527258325154277,2.1815276936215366,0.5451787874396762,1.6849050414240783,-0.36802006535028453,1.522859412580467,-0.5451787874396762,1.6849050414240783,0.36802006535028453,1.522859412580467,2.3527258325154277,2.1815276936215366,2.710557351811732,1.9871873496992736,0.0,Inf,-4.748603800466661,2.3704443680909772,2.710557351811732,1.9871873496992736,-2.710557351811732,1.9871873496992736,-4.82965723703828,4.748603800466661,2.6525749763415023,2.3704443680909772,0.06855393989527692,0.03069304080595814,2.476931404522855,1.3330757394369712,2.476931404522855,1.3330757394369712
0.0,3.0,-4.748603800466661,2.3704443680909772,4.704396928198539,2.199707055743729,-2.923415773686593,1.8599106978626851,0.25647261854614944,1.4202695506638903,-0.18147526954206478,1.3523755575864882,-0.25647261854614944,1.4202695506638903,0.18147526954206478,1.3523755575864882,2.923415773686593,1.8599106978626851,3.059502575978392,1.7739373612642968,0.0,Inf,-4.679035507718887,2.089723101645951,3.059502575978392,1.7739373612642968,-3.059502575978392,1.7739373612642968,-4.704396928198539,4.679035507718887,2.199707055743729,2.089723101645951,0.01591052774855717,0.009446947766662994,1.7809811545119467,0.9377863973553269,1.7809811545119467,0.9377863973553269
0.0,3.0,-4.679035507718887,2.089723101645951,4.664067843271997,2.016249696594323,-3.1504077408518096,1.7147229333201444,0.12938412356449516,1.3062236355961394,-0.09260296685517444,1.2743158194952031,-0.12938412356449516,1.3062236355961394,0.09260296685517444,1.2743158194952031,3.1504077408518096,1.7147229333201444,3.2128408824729906,1.6734259303409253,0.0,Inf,-4.655091337062331,1.9660406244469937,3.2128408824729906,1.6734259303409253,-3.2128408824729906,1.6734259303409253,-4.664067843271997,4.655091337062331,2.016249696594323,1.9660406244469937,0.00630834751829612,0.004640428480539027,1.5136601024201881,0.7905618893942827,1.5136601024201881,0.7905618893942827
0.0,3.0,-4.655091337062331,1.9660406244469937,4.6496581465797595,1.9312169265584689,-3.2564938855833208,1.6443850422169808,0.06641225666242558,1.252009187392178,-0.04768082386568877,1.2362963466920378,-0.06641225666242558,1.252009187392178,0.04768082386568877,1.2362963466920378,3.2564938855833208,1.6443850422169808,3.2873717325586336,1.6238464326786208,0.0,Inf,-4.6463514261201775,1.9068202955610492,3.2873717325586336,1.6238464326786208,-3.2873717325586336,1.6238464326786208,-4.6496581465797595,4.6463514261201775,1.9312169265584689,1.9068202955610492,0.003686195741476106,0.0031075537045279766,1.3931642609964061,0.7249804482597922,1.3931642609964061,0.7249804482597922
0.0,3.0,-4.6463514261201775,1.9068202955610494,4.644331212394062,1.8896087074435783,-3.309376635443219,1.609262298073849,0.03425316964448414,1.225169447633798,-0.024615472001252296,1.2172600612698823,-0.03425316964448414,1.225169447633798,0.024615472001252296,1.2172600612698823,3.309376635443219,1.609262298073849,3.3251325203379154,1.598875945307898,0.0,Inf,-4.643092765419565,1.8774055930241935,3.3251325203379154,1.598875945307898,-3.3251325203379154,1.598875945307898,-4.644331212394062,4.643092765419565,1.8896087074435783,1.8774055930241935,0.0027406147578762363,0.002499939730707723,1.3349545769508437,0.6934665985068534,1.3349545769508437,0.6934665985068534
0.0,3.0,-4.643092765419565,1.8774055930241935,4.642330630007824,1.8687223657144518,-3.336446847954419,1.5914629494405461,0.017693180158315662,1.2116221429427074,-0.012719219318197608,1.2075950373388253,-0.017693180158315662,1.2116221429427074,0.012719219318197608,1.2075950373388253,3.336446847954419,1.5914629494405461,3.3445856027178373,1.5861633376664062,0.0,Inf,-4.641859330237279,1.862527454857017,3.3445856027178373,1.5861633376664062,-3.3445856027178373,1.5861633376664062,-4.642330630007824,4.641859330237279,1.8687223657144518,1.862527454857017,0.0023380689810160726,0.0022271690097936947,1.3058837820533444,0.6777676302977028,1.3058837820533444,0.6777676302977028
0.0,3.0,-4.641859330237279,1.862527454857017,4.641566071636681,1.8580991731655248,-3.3504455390181525,1.582369768773051,0.009144340722331272,1.2047140328775932,-0.006574609127818328,1.2026505095919633,-0.009144340722331272,1.2047140328775932,0.006574609127818328,1.2026505095919633,3.3504455390181525,1.582369768773051,3.3546665724051965,1.5796515654095407,0.0,Inf,-4.641382193622001,1.8549291184729846,3.3546665724051965,1.5796515654095407,-3.3546665724051965,1.5796515654095407,-4.641566071636681,4.641382193622001,1.8580991731655248,1.8549291184729846,0.0021501569325700354,0.002096150353986248,1.291120532618615,0.669804786629357,1.291120532618615,0.669804786629357
0.0,3.0,-4.641382193622001,1.8549291184729846,4.64126584643048,1.852657308057895,-3.357707480181609,1.5777023847494214,0.004727217377940192,1.2011711672463612,-0.003399024695403058,1.2001098849893994,-0.004727217377940192,1.2011711672463612,0.003399024695403058,1.2001098849893994,3.357707480181609,1.5777023847494214,3.359898107523253,1.5763038089261423,0.0,Inf,-4.6411914643011665,1.8510278821721196,3.359898107523253,1.5763038089261423,-3.359898107523253,1.5763038089261423,-4.64126584643048,4.6411914643011665,1.852657308057895,1.8510278821721196,0.002058007249088778,0.0020309298676306486,1.2835583662488717,0.6657283877500761,1.2835583662488717,0.6657283877500761
0.0,3.0,-4.6411914643011665,1.8510278821721196,4.641143372524163,1.8498584708263586,-3.3614759816950257,1.5752998238118454,0.0024440648944368797,1.1993481099262269,-0.0017574313068550976,1.1988010900305044,-0.0024440648944368797,1.1993481099262269,0.0017574313068550976,1.1988010900305044,3.3614759816950257,1.5752998238118454,3.3626122877033247,1.574578829950066,0.0,Inf,-4.641111910149156,1.8490188081992947,3.3626122877033247,1.574578829950066,-3.3626122877033247,1.574578829950066,-4.641143372524163,4.641111910149156,1.8498584708263586,1.8490188081992947,0.002011637120950205,0.0019978546584826784,1.2796673908292224,0.6636315447493971,1.2796673908292224,0.6636315447493971
0.0,3.0,-4.641111910149156,1.8490188081992947,4.641091081060539,1.8484156963020697,-3.3634304353869546,1.574060908385741,0.0012637157783183333,1.1984081564959526,-0.0009087084285004141,1.198125835585614,-0.0012637157783183333,1.1984081564959526,0.0009087084285004141,1.198125835585614,3.3634304353869546,1.574060908385741,3.3640193930966533,1.5736887763963205,0.0,Inf,-4.641077131349553,1.847982375805408,3.3640193930966533,1.5736887763963205,-3.3640193930966533,1.5736887763963205,-4.641091081060539,4.641077131349553,1.8484156963020697,1.847982375805408,0.0019879900546985185,0.0019809200656544235,1.2776606456734994,0.6625502569825565,1.2776606456734994,0.6625502569825565
