rownames,1.0,1.05,1.1,1.15,1.2,1.25,1.3,1.35,1.4,1.45,1.5,1.55,1.6,1.65,1.7,1.75,1.8,1.85,1.9,1.95,2.0
0.033,-265921.3638970468,-265899.3871164289,-265881.37872755545,-265866.7801532362,-265855.1087701107,-265845.94909286627,-265838.9444438071,-265833.7892761725,-265830.22224542836,-265828.02002084313,-265826.9918185521,-265826.97461041843,-265827.82896455226,-265829.4354414508,-265831.69149553444,-265834.50882498414,-265837.81111126987,-265841.5321094034,-265845.6140308926,-265850.00619064394,-265854.6638731477
0.0335,-265915.8204469124,-265893.20753401035,-265874.6000380992,-265859.4410462972,-265847.2488005873,-265837.60811065347,-265830.16219998733,-265824.6051655126,-265820.6751325575,-265818.14813330927,-265816.8326888328,-265816.5650441332,-265817.2050263091,-265818.6324540998,-265820.7440294807,-265823.45070229605,-265826.67540309846,-265830.35112193995,-265834.419295528,-265838.82845151704,-265843.53306434874
0.034,-265911.92164665804,-265888.68052640767,-265869.4820029518,-265853.77079171845,-265841.06597166794,-265830.9526154574,-265823.0738223565,-265817.1232964167,-265812.83859507804,-265809.9950796793,-265808.4005342666,-265807.8904392071,-265808.3238391342,-265809.5797579193,-265811.5541128939,-265814.1570592861,-265817.31073106796,-265820.94731778395,-265825.00744635786,-265829.4388171571,-265834.1950590147
0.0345,-265909.6264367996,-265885.7651045143,-265865.9836948203,-265849.7285258117,-265836.51947960025,-265825.9418727795,-265817.63864651474,-265811.3030801449,-265806.6721340302,-265803.52046104317,-265801.6550714162,-265800.91063662537,-265801.14537828066,-265802.2374879177,-265804.0820509157,-265806.5883872801,-265809.6777965908,-265813.28162635566,-265817.3396532278,-265821.79871475714,-265826.6115671568
0.035,-265908.89587501925,-265884.4223835184,-265864.0662897708,-265847.27547940024,-265833.57061603735,-265822.53723030305,-265813.81808221695,-265807.10599753854,-265802.137308993,-265798.6859223022,-265796.55804259295,-265795.5874921201,-265795.631626019,-265796.56776387966,-265798.2901205503,-265800.7071370444,-265803.73923395376,-265807.31688234233,-265811.3789678647,-265815.87143240526,-265820.74612490676
0.0355,-265909.6930275882,-265884.6154846538,-265863.69295665715,-265846.3748691296,-265832.18264364905,-265820.702002467,-265811.5754979054,-265804.49547821336,-265799.19761458214,-265795.45503919845,-265793.0731088,-265791.88476127817,-265791.7464502768,-265792.53458297846,-265794.1424530044,-265796.477590903,-265799.45950001024,-265803.0177257339,-265807.09023328504,-265811.6220276751,-265816.56401903386
0.036,-265911.98283266556,-265886.30939404824,-265864.8287243011,-265846.9917676166,-265832.32067764923,-265820.4013479143,-265810.8761018856,-265803.4367833219,-265797.818375522,-265793.7932006789,-265791.1657385061,-265789.7680053536,-265789.4555096046,-265790.1037092551,-265791.6049416326,-265793.86578124564,-265796.8047731365,-265800.35050402966,-265804.43997316406,-265809.0172210499,-265814.0321757472
0.0365,-265915.73201325454,-265889.47087378264,-265867.44039789645,-265849.0930159535,-265833.95159781846,-265821.6021856145,-265811.6868568047,-265803.8969208173,-265797.9666470689,-265793.6675238847,-265790.8031131433,-265789.20447881124,-265788.72614743013,-265789.24258617975,-265790.6451392108,-265792.8393815381,-265795.74286353163,-265799.2831745717,-265803.39631199156,-265808.0253084027,-265813.11908210046
0.037,-265920.9089759825,-265894.06836952735,-265871.49645371374,-265852.647123647,-265837.0439442774,-265824.27309055213,-265813.97636864334,-265805.84453839745,-265799.6111257193,-265795.04675242235,-265791.9540378714,-265790.1630547764,-265789.52731243323,-265789.92025177984,-265791.2321783354,-265793.3676361984,-265796.24313734233,-265799.7852341855,-265803.92888750066,-265808.61608594586,-265813.7947042552
0.0375,-265927.4837173859,-265900.0719116787,-265876.9669504459,-265857.6241763034,-265841.5678322849,-265828.3842070986,-265817.71481456526,-265809.2498444378,-265802.7220558082,-265797.901176963,-265794.5888535278,-265792.6141304602,-265791.82946960104,-265792.10724068485,-265793.33668359346,-265795.4212630375,-265798.27641861845,-265801.8276290724,-265806.00877529883,-265810.76077193406,-265816.0304121278
0.038,-265935.4277379543,-265907.4530225908,-265883.82343918324,-265863.9957506524,-265847.4948604827,-265833.9071556898,-265822.87384004984,-265814.0845136985,-265807.271144383,-265802.20254256704,-265798.67934559565,-265796.52954252437,-265795.60450972104,-265795.77551503724,-265796.9306869995,-265798.97237963486,-265801.81491865986,-265805.3826703825,-265809.6084015565,-265814.43191486696,-265819.79888951126
0.0385,-265944.7139626789,-265916.1846593992,-265892.0388956966,-265871.7348418499,-265854.7980421359,-265840.8149670481,-265829.42649785784,-265820.3216215268,-265813.2314940948,-265807.923979294,-265804.19867909106,-265801.8824979813,-265800.825689618,-265800.8983843894,-265801.9875634381,-265803.99443153373,-265806.8321634369,-265810.42397529434,-265814.7014848265,-265819.60334519553,-265825.0740889118
0.039,-265955.31666652753,-265926.2411124234,-265901.5876313617,-265880.81577737833,-265863.4517235819,-265849.0820058166,-265837.34716777154,-265827.93556455045,-265820.57752115687,-265815.0399265826,-265811.1213261172,-265808.64750227163,-265807.4675532475,-265807.4504388278,-265808.4819567617,-265810.4621269393,-265813.30293184717,-265816.9264010471,-265821.262969299,-265826.2501011484,-265831.8311493428
0.0395,-265967.211408485,-265937.59795758076,-265912.44523304305,-265891.2141575604,-265873.4315136783,-265858.6838935453,-265846.6114845603,-265836.9019935953,-265829.28489249083,-265823.5260747002,-265819.42299599,-265816.80028916826,-265815.50586822594,-265815.40748388466,-265816.3897171509,-265818.3513622819,-265821.2031813867,-265824.86597316794,-265829.26895190624,-265834.34836477926,-265840.0463469396
0.04,-265980.37495414395,-265950.2319743006,-265924.5884935664,-265902.9067826262,-265884.71422437555,-265869.59744764195,-265857.1962746747,-265847.19774453825,-265839.33045450284,-265833.3592815808,-265829.0805636136,-265826.3177574561,-265824.9175583449,-265824.74647522427,-265825.68783652387,-265827.63917489565,-265830.5099896824,-265834.21982387383,-265838.69663028413,-265843.8754031603,-265849.6970246426
0.0405,-265994.78522446967,-265964.1210924736,-265937.99535076175,-265915.87160001294,-265897.2778047065,-265881.80062803277,-265869.0795027148,-265858.8007871906,-265850.6921859892,-265844.5175328244,-265840.07202791166,-265837.17791819415,-265835.68065154285,-265835.44546271703,-265836.35438911535,-265838.30367228977,-265841.20151083264,-265844.9661509908,-265849.52425267536,-265854.80951967207,-265860.76155201666
0.041,-266010.4212312701,-265979.24433341017,-265952.64483023726,-265930.08763600205,-265911.1012895194,-265895.2724664294,-265882.2402027614,-265871.69015850575,-265863.34912386537,-265856.979872339,-265852.37643752305,-265849.3598304705,-265847.7742186121,-265847.4835303282,-265848.36848298344,-265850.3239827381,-265853.2569003437,-265857.08414511825,-265861.7310496862,-265867.12999230303,-265873.21926149016
0.0415,-266027.26302404667,-265995.58174920146,-265968.5169888148,-265945.5349527928,-265926.1647365815,-265909.9930215125,-265896.65843072336,-265885.84591240913,-265877.28132430697,-265870.72635548795,-265865.9738473373,-265862.8435505222,-265861.1783227315,-265860.8407522396,-265861.7101989917,-265863.6802077885,-265866.65627536154,-265870.5539497691,-265875.2971950718,-265880.81703461113,-265887.0504051461
0.042,-266045.2916391648,-266013.11437697127,-265985.5928618517,-265962.19458180945,-265942.44917955465,-265925.9433219548,-265912.3152119807,-265901.2490691178,-265892.4698012118,-265885.737991342,-265880.8452658927,-265877.6100873763,-265875.873969974,-265875.4981350247,-265876.36055156507,-265878.3533671277,-265881.38067391387,-265885.35661669384,-265890.2037609373,-265895.8517386778,-265902.23610423214
